"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","74154","±166"
"    Science and Engineering","",""
"        Computers, Mathematics and Statistics",100283,"±470"
"        Biological, Agricultural, and Environmental Sciences",76444,"±586"
"        Physical and Related Sciences",83706,"±1,244"
"        Psychology",62136,"±469"
"        Social Sciences",80016,"±666"
"        Engineering",106736,"±347"
"        Multidisciplinary Studies",63605,"±969"
"    Science and Engineering Related Fields",75847,"±372"
"    Business",80569,"±270"
"    Education",57093,"±348"
"    Arts, Humanities, and Other","",""
"        Literature and Languages",64276,"±618"
"        Liberal Arts and History",65150,"±863"
"        Visual and Performing Arts",54765,"±628"
"        Communications",67010,"±652"
"        Other",62206,"±365"
"    Male:",89298,"±358"
"        Science and Engineering","",""
"            Computers, Mathematics and Statistics",105269,"±640"
"            Biological, Agricultural, and Environmental Sciences",86629,"±951"
"            Physical and Related Sciences",94580,"±1,830"
"            Psychology",75890,"±1,112"
"            Social Sciences",92960,"±1,057"
"            Engineering",110918,"±704"
"            Multidisciplinary Studies",80034,"±3,164"
"        Science and Engineering Related Fields",88839,"±1,147"
"        Business",92931,"±657"
"        Education",66887,"±863"
"        Arts, Humanities, and Other","",""
"            Literature and Languages",75098,"±1,208"
"            Liberal Arts and History",73090,"±1,033"
"            Visual and Performing Arts",62092,"±840"
"            Communications",73633,"±1,079"
"            Other",74303,"±752"
"    Female:",63235,"±132"
"        Science and Engineering","",""
"            Computers, Mathematics and Statistics",81871,"±958"
"            Biological, Agricultural, and Environmental Sciences",68114,"±909"
"            Physical and Related Sciences",69352,"±1,700"
"            Psychology",58487,"±776"
"            Social Sciences",68122,"±840"
"            Engineering",91171,"±1,318"
"            Multidisciplinary Studies",59971,"±1,139"
"        Science and Engineering Related Fields",72210,"±441"
"        Business",67923,"±442"
"        Education",54573,"±333"
"        Arts, Humanities, and Other","",""
"            Literature and Languages",60586,"±695"
"            Liberal Arts and History",57519,"±1,142"
"            Visual and Performing Arts",51181,"±527"
"            Communications",63619,"±668"
"            Other",54225,"±401"
