"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:",50145,"±64"
"    Less than high school graduate",30788,"±101"
"    High school graduate (includes equivalency)",37290,"±90"
"    Some college or associate's degree",44080,"±139"
"    Bachelor's degree",64911,"±149"
"    Graduate or professional degree",84118,"±274"
"    Male:",56539,"±149"
"        Less than high school graduate",35428,"±186"
"        High school graduate (includes equivalency)",43403,"±165"
"        Some college or associate's degree",53020,"±168"
"        Bachelor's degree",78869,"±445"
"        Graduate or professional degree",103049,"±339"
"    Female:",42094,"±65"
"        Less than high school graduate",23370,"±244"
"        High school graduate (includes equivalency)",30411,"±84"
"        Some college or associate's degree",36994,"±104"
"        Bachelor's degree",54913,"±143"
"        Graduate or professional degree",72582,"±280"
