"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","50,145","±64"
"    Less than high school graduate","30,788","±101"
"    High school graduate (includes equivalency)","37,290","±90"
"    Some college or associate's degree","44,080","±139"
"    Bachelor's degree","64,911","±149"
"    Graduate or professional degree","84,118","±274"
"    Male:","56,539","±149"
"        Less than high school graduate","35,428","±186"
"        High school graduate (includes equivalency)","43,403","±165"
"        Some college or associate's degree","53,020","±168"
"        Bachelor's degree","78,869","±445"
"        Graduate or professional degree","103,049","±339"
"    Female:","42,094","±65"
"        Less than high school graduate","23,370","±244"
"        High school graduate (includes equivalency)","30,411","±84"
"        Some college or associate's degree","36,994","±104"
"        Bachelor's degree","54,913","±143"
"        Graduate or professional degree","72,582","±280"
