AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,00-0000,All Occupations,total,1960600,0.0,100.00,100,34.10,70920,0.3,14.99,20.01,29.16,39.57,59.44,31170,41620,60640,82310,123630,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,00-0000,All Occupations,total,7955230,0.0,100.00,100,29.15,60630,0.3,13.81,18.10,25.27,36.84,48.65,28710,37640,52560,76640,101190,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,00-0000,All Occupations,total,3035680,0.0,100.00,100,32.05,66670,0.4,14.13,18.19,25.77,37.77,54.05,29380,37820,53600,78570,112420,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-0000,Management Occupations,major,148430,0.1,7.57,69,56.22,116940,0.4,29.93,38.07,48.75,63.76,88.67,62260,79190,101410,132620,184440,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-0000,Management Occupations,major,334160,0.5,4.20,90,53.43,111140,0.5,31.94,39.01,49.41,62.97,78.33,66430,81140,102780,130980,162930,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-0000,Management Occupations,major,280070,0.7,9.23,47,53.95,112210,0.5,24.10,31.65,46.35,63.09,90.40,50120,65840,96410,131240,188040,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-1000,Top Executives,minor,9380,0.7,0.48,18,72.20,150170,1.0,30.41,39.25,58.65,84.25,,63250,81640,122000,175230,,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-1000,Top Executives,minor,20230,1.8,0.25,20,75.46,156960,3.7,37.36,50.23,64.77,84.47,113.70,77700,104480,134720,175700,236500,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-1000,Top Executives,minor,51940,1.2,1.71,27,58.66,122020,1.0,20.15,29.11,45.27,74.61,108.00,41920,60540,94150,155180,224650,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-1010,Chief Executives,broad,1170,0.9,0.06,9,143.27,298010,3.8,64.88,88.43,,,,134960,183930,,,,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-1010,Chief Executives,broad,9680,2.5,0.12,11,88.85,184800,6.6,45.26,58.78,74.44,100.75,,94130,122270,154830,209560,,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-1010,Chief Executives,broad,4660,3.0,0.15,3,113.83,236770,2.3,38.61,53.65,83.13,,,80300,111600,172910,,,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-1011,Chief Executives,detailed,1170,0.9,0.06,9,143.27,298010,3.8,64.88,88.43,,,,134960,183930,,,,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-1011,Chief Executives,detailed,9680,2.5,0.12,11,88.85,184800,6.6,45.26,58.78,74.44,100.75,,94130,122270,154830,209560,,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-1011,Chief Executives,detailed,4660,3.0,0.15,3,113.83,236770,2.3,38.61,53.65,83.13,,,80300,111600,172910,,,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-1020,General and Operations Managers,broad,8210,0.7,0.42,14,62.05,129060,0.5,30.00,38.55,49.78,77.20,106.43,62400,80180,103550,160570,221380,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-1020,General and Operations Managers,broad,10560,2.5,0.13,10,63.19,131440,0.8,34.79,47.57,61.24,77.03,96.69,72360,98940,127370,160220,201120,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-1020,General and Operations Managers,broad,47280,1.3,1.56,25,53.22,110710,1.1,19.23,28.31,41.50,66.12,100.94,40000,58890,86310,137540,209950,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-1021,General and Operations Managers,detailed,8210,0.7,0.42,14,62.05,129060,0.5,30.00,38.55,49.78,77.20,106.43,62400,80180,103550,160570,221380,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-1021,General and Operations Managers,detailed,10560,2.5,0.13,10,63.19,131440,0.8,34.79,47.57,61.24,77.03,96.69,72360,98940,127370,160220,201120,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-1021,General and Operations Managers,detailed,47280,1.3,1.56,25,53.22,110710,1.1,19.23,28.31,41.50,66.12,100.94,40000,58890,86310,137540,209950,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,6160,0.4,0.31,11,53.48,111230,0.6,30.33,37.90,48.61,62.75,81.71,63090,78830,101100,130520,169960,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,2410,1.9,0.03,2,54.57,113510,1.1,33.17,40.74,51.42,63.89,78.21,68990,84740,106960,132900,162680,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,17860,1.9,0.59,5,59.07,122860,1.0,29.77,38.68,51.19,72.73,97.08,61910,80450,106470,151290,201920,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2010,Advertising and Promotions Managers,broad,110,1.2,0.01,,41.92,87190,1.2,23.68,28.86,35.48,49.79,67.51,49250,60020,73790,103560,140420,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-2010,Advertising and Promotions Managers,broad,230,21.9,0.01,,43.99,91500,5.2,23.25,28.55,39.23,55.58,70.81,48370,59390,81590,115600,147270,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2011,Advertising and Promotions Managers,detailed,110,1.2,0.01,,41.92,87190,1.2,23.68,28.86,35.48,49.79,67.51,49250,60020,73790,103560,140420,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-2011,Advertising and Promotions Managers,detailed,230,21.9,0.01,,43.99,91500,5.2,23.25,28.55,39.23,55.58,70.81,48370,59390,81590,115600,147270,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2020,Marketing and Sales Managers,broad,1870,0.3,0.10,7,51.18,106460,0.6,30.29,37.67,47.42,60.35,80.43,63000,78360,98630,125530,167290,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-2020,Marketing and Sales Managers,broad,690,3.2,0.01,1,52.57,109340,1.6,30.61,36.65,48.09,63.86,80.17,63660,76230,100030,132820,166760,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",5,11-2020,Marketing and Sales Managers,broad,7940,3.3,0.26,3,58.89,122490,1.6,28.74,38.64,51.46,74.04,95.48,59770,80360,107050,154000,198590,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2021,Marketing Managers,detailed,1680,0.3,0.09,6,51.63,107380,0.6,30.43,37.67,47.57,61.16,81.10,63280,78360,98950,127210,168690,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",3,11-2021,Marketing Managers,detailed,640,3.7,0.01,1,52.31,108810,1.9,30.61,36.65,47.80,62.73,80.29,63660,76230,99420,130470,167010,,
